"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Africa Eastern and Southern","AFE","1992","127.400373348962","","","","","","","","","","56.6382901525262","62.664212057935","59.6467681152552","64.7362871952216","66.1745194275253","80.7925464084862","81.6847150826947","73.8104977194794","53.076758457369","48.9469691072919","","4.05793923389783","1.41365615059277","","4242851","4386290","","","","","7.56614912922728","7.71114721822523","83.2646015699755","68.2584462384347"
"Argentina","ARG","2013","63.41","","","","","","","","","","30.99","48.42","39.81","47.94","55.57","73.55","80.42","67.78","79.124","72.306","1.00088000297546","0.1","0.1","36.5758754863813","3340","381","0.991569995880127","1.03136003017426","1.07652997970581","1.37505996227264","8.48","6.12","16.6800003647805","21.7599993944168"
"Bulgaria","BGR","1983","79.021","","","","","","","","","","","","","","","","","","74.48","68.44","","","","","","227","0.999599993228912","0.995800018310547","0.993189990520477","1.15556001663208","","","",""
"Bahrain","BHR","1983","47.8004","","","","","","","","","","","","","","","","","","72.24","69.543","","","","","","","0.944769978523254","0.908990025520325","0.861140012741089","","","","",""
"Belarus","BLR","2012","21.373","2.6","2","100","100","100","2.3","0","0","0","46.29","51.18","48.81","58.15","73.03","70.25","79.09","75.96","77.6","66.6","","0.1","0.1","26.605504587156","572","6181","1.00062000751495","0.976570010185242","0.964630007743835","1.28539001941681","4.55","7.56","1.99000005796552","4.88999988511205"
"Barbados","BRB","1974","83.3784","","","","","","","","","","","","","","","","","","72.236","66.963","","","","","","","0.842729985713959","0.905780017375946","1.00179994106293","0.798789978027344","","","",""
"Barbados","BRB","1977","69.711","","","","","","","","","","","","","","","","","","73.404","68.257","","","","","","","0.97759997844696","1.04622995853424","1.11572003364563","","","","",""
"Chile","CHL","1974","80.2178","","","","","","","","","","","","","","","","","","68.212","61.76","","","","","3700","13550","0.97759997844696","1.01049995422363","1.0938800573349","","","","",""
"Colombia","COL","1972","100.99","","","","","","","","","","","","","","","","","","65.313","60.929","","","","","1350","","1.03418004512787","1.01515996456146","0.970340013504028","","","","",""
"Colombia","COL","1977","93.932","","","","","","","","","","","","","","","","","","67.942","63.045","","","","","1800","","1.0357700586319","1.02497005462646","1.00864005088806","0.624939978122711","","","",""
"Comoros","COM","1986","120.0848","","","","","","","","","","","","","","","","","","56.048","52.874","","","","","","","0.761370003223419","0.731689989566803","0.645709991455078","","","","",""
"Cuba","CUB","1982","85.722","","","","","","","","","","","","","","","","","","75.935","72.554","","","","","2000","655","0.946569979190826","0.980599999427795","1.02778995037079","1.07185995578766","","","",""
"Curacao","CUW","1968","81.6764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","CZE","2002","11.36","","","","","","","","","","34.93","43.75","39.44","50.93","62.7","68.97","78.47","70.59","78.5","72.1","","","","17","1296","6985","0.987299978733063","1.01429998874664","1.03104996681213","1.09037005901337","8.56","5.8","8.36999988555908","14.5300001204014"
"Denmark","DNK","1976","22.3578","","","","","","","","","","","","","","","","","","76.69","70.93","","","","","2100","","0.992349982261658","","","0.845870018005371","","","",""
"Denmark","DNK","1999","7.4514","","","","","","","","","","70.03","77.63","73.89","60","75.52","72.61","85.45","80.55","78.8","74","","0.1","0.1","37.4301675977654","68982","25","1.00346994400024","1.02909994125366","1.04993999004364","1.25093996524811","5.9","4.49","4.25999987125397","5.84999990463257"
"East Asia & Pacific (excluding high income)","EAP","1976","36.6549736852412","","","","","","","","","","","","","","","","","","64.5706161217876","61.2195622756803","0.808740019798279","","","","","","0.88059","0.84213","0.72205","0.70345002412796","","","",""
"Spain","ESP","1980","23","","","","","","","","","","","","","","","","","","78.53","72.32","","","","","21500","5","1.00325000286102","1.02026998996735","1.03736996650696","0.743210017681122","","","",""
"Georgia","GEO","1976","38.2854","","","","","","","","","","","","","","","","","","72.888","65.187","","","","","","","","","","","","","",""
"Italy","ITA","1977","26.018","","","","","","","","","","","","","","","","","","76.74","70.15","","","","","11700","","0.992519974708557","0.945729970932007","0.905269980430603","0.667079985141754","","","",""
"Jordan","JOR","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","11.5384615384615","3009517","2489","","","","","","","",""
"Japan","JPN","1966","3.993","","","","","","","","","","","","","","","","","","73.65","68.45","","","","","","","","","","","","","",""
"Korea, Rep.","KOR","1974","13.6184","","","","","","","","","","","","","","","","","","67.8","60","","","","","","","0.98404997587204","0.882189989089966","0.696300029754639","0.38416001200676","","","",""
"Latin America & Caribbean (excluding high income)","LAC","2005","76.5282780391369","","","","","","","","","","43.9377537666932","65.7948083922169","54.9080000037748","50.6491058994802","54.4362533704317","79.1765817625099","82.7645006198382","68.3335881820515","76.0805099441468","69.7168817623566","1.00826001167297","","","20.9677419354839","36293","113875","0.97073","1.01655","1.07518","1.1739399433136","9.90913735379471","6.2022322326681","37.2910235445285","34.2643433602619"
"Lao PDR","LAO","1997","89.986","","","","","","","","","","79.73","65.39","72.5","79.63","84.15","81.76","83.94","84.05","58.82","55.276","","0.1","0.1","","","37369","0.81742000579834","0.78627997636795","0.668370008468628","0.440970003604889","2.31","2.33","94.0400009155274","84.7799987792969"
"Lao PDR","LAO","2015","66.3124","","","","","","","","","","64.15","58.19","61.15","76.64","80.51","79.95","82.18","81.35","68.331","64.765","0.95864999294281","0.1","0.1","25","","7359","0.954330027103424","0.93725997209549","0.918049991130829","0.946820020675659","0.63","0.74","84.7800025939941","72.2800006866456"
"Lebanon","LBN","1990","48.8446","","","","","","","","","","19.98","45.2","32.77","19.1","20.66","69.68","72","45.64","71.811","68.707","","0.1","0.1","","309021","6993","","","","","","","",""
"Liberia","LBR","1960","225.535","","","","","","","","","","","","","","","","","","37.169","31.735","","","","","","","","","","","","","",""
"Sri Lanka","LKA","1989","31.8298","","","","","","","","","","","","","","","","","","73.053","66.132","","","","","","7692","0.967769980430603","1.02107000350952","1.08053994178772","","","","",""
"Low & middle income","LMY","1986","75.108341059765","","","","","","","","","","","","","","","","","","63.9460124985069","60.330747912566","0.871940016746521","","","","","","0.84606","0.81798","0.76467","0.764949977397919","","","",""
"Late-demographic dividend","LTE","1982","30.8348387891808","","","","","","","","","","","","","","","","","","69.7355864700043","65.0660142869783","0.909650027751923","","","","","","0.86805","0.86138","0.85436","0.962289988994598","","","",""
"Madagascar","MDG","1961","155.49","","","","","","","","","","","","","","","","","","41.434","39.527","","","","","","","","","","","","","",""
"Mexico","MEX","1977","108.007","","","","","","","","","","","","","","","","","","68.191","61.986","","","","","4000","","0.958599984645844","0.917349994182587","0.790910005569458","0.371069997549057","","","",""
"Marshall Islands","MHL","2003","","","","","","","","","","","","","","","","","","","","","","","","3.03030303030303","","","1.01400995254517","1.04790997505188","1.08781003952026","","","","",""
"North Macedonia","MKD","2015","16.6414","","","","","","","","","","25.12","40.13","32.83","43.53","51.83","67.65","77.36","64.78","77.459","73.397","","","","33.3333333333333","697","1769","1.00322997570038","0.990620017051697","0.982829988002777","1.20051002502441","25.06","26.72","18.6599998474121","23.9200005531311"
"Mali","MLI","1975","192.9072","","","","","","","","","","","","","","","","","","36.829","35.054","","","","","","","0.583050012588501","","","0.104139998555183","","","",""
"Mauritania","MRT","1997","100.386","","","","","","","","","","30.63","57.18","44.01","29.62","30.71","72.71","74.19","52","62.244","58.789","","0.2","0.1","1.26582278481013","7512","70294","0.913209974765778","0.847699999809265","0.540809988975525","0.184420004487038","11.84","9.16","78.5099983215332","56.2600002288818"
"New Caledonia","NCL","2015","15.9752","","","","","","","","","","39.89","46.83","43.48","58.72","66","69.05","76.3","71.2","80.2","74.5","","","","","","","","","","","15.93","13.75","11.6500003039837","16.7200002223253"
"Nicaragua","NIC","1971","175.7602","","","","","","","","","","","","","","","","","","55.566","52.723","","","","","","","1.05069994926453","1.02346003055573","0.893299996852875","0.48513999581337","","","",""
"Netherlands","NLD","1979","9.309","","","","","","","","","","","","","","","","","","78.92","72.45","","","","","10000","","1.0168000459671","0.979080021381378","0.941550016403198","0.578270018100739","","","",""
"OECD members","OED","2002","33.933100865099","","","","","","","","","","44.8165691317242","54.7276258643293","49.8514882794685","49.5065224031049","59.2324004114285","71.1354324630065","80.0675344599789","69.6272932373933","80.4662143968319","74.4544861830582","","","","19.2410190811214","2634075","265274","0.99242","0.99024","0.98834","1.10853004455566","7.62116871563591","6.84959970506803","13.515283693966","15.1981038133908"
"Panama","PAN","1963","140.982","","","","","","","","","","","","","","","","","","63.523","61.298","","","","","","","","","","","","","",""
"Pacific island small states","PSS","2019","50.5929891363329","","","","","","","","","","43.8206359149174","56.1521441266764","50.1772881426548","53.1579814357502","55.460807617221","76.5601661027724","78.5441614173765","67.1706530169702","72.0477848231164","68.252097773654","","","","7.77479892761394","767","664","0.98381","","","","2.82303115504598","2.58253955161915","61.1590684102112","46.6139057732082"
"Post-demographic dividend","PST","2020","","","","","","","","","","","","","","","","","","","","","","","","32.9353554910186","3448568","94552","","","","","","","",""
"Romania","ROU","2004","37.9342","","","","","","","","","","31.12","40.22","35.78","48.07","56.88","62.57","70.47","63.66","75.3","68","","0.1","0.1","11.4457831325301","1610","6043","0.985459983348846","1.00909996032715","1.02053999900818","1.21328997612","6.15","9.01","33.3700008392334","32.7500004768372"
"Senegal","SEN","1975","179.9308","","","","","","","","","","","","","","","","","","44.6","42.489","","","","","46000","","0.739970028400421","","","","","","",""
"Singapore","SGP","2002","7.541","","","","","","","","","","37.5","40.22","38.92","51.66","56.55","78.57","83.2","70.23","80.6","76.6","","0.1","0.1","11.7647058823529","","40","","","","","5.78","5.56","6.85999977588654","11.91000020504"
"Sub-Saharan Africa (excluding high income)","SSA","1992","136.449974703053","","","","","","","","","","50.7244889988648","57.4199054862514","54.0751743873752","62.404340893399","63.59273665465","77.9837658286931","78.6460909600659","71.0304085723905","51.9340714788184","48.4264497649597","0.813239991664886","2.95834837249155","1.07090664082139","","5234267","5426023","0.84306","0.82836","0.77852","0.5555499792099","6.25884027424616","6.5095231139007","86.8828535232266","74.193397456771"
"Suriname","SUR","1983","100.938","","","","","","","","","","","","","","","","","","69.503","63.649","","","","","","","","","","","","","",""
"Turks and Caicos Islands","TCA","2016","","","","","","","","","","","","","","","","","","","","","","","","","5","14","","","","","","","",""
"Chad","TCD","1989","218.0922","","","","","","","","","","","","","","","","","","48.117","45.709","","","","","","125863","0.424160003662109","0.395909994840622","0.19700999557972","","","","",""
"Europe & Central Asia (IDA & IBRD countries)","TEC","1999","35.8480322338814","","","","","","","","","","37.3886910186256","49.9972383806477","43.7662473119506","50.2399824698888","58.6546857360908","69.0666375893588","75.1149051535788","66.6883463494178","73.0520975146793","63.3368617999688","0.993330001831055","","","","1281659","1872761","0.97223","0.96715","0.96424","1.12462997436523","12.305885689476","11.7485678044667","25.1475430470866","23.9900632095789"
"Thailand","THA","2002","41.908","","","","","","","","","","45.94","58.69","52.39","64.27","69.65","80.99","85.19","77.29","74.827","67.523","","1.1","0.6","9.2","112614","342","0.975809991359711","0.985090017318726","1.00136995315552","1.10661995410919","1.63","1.98","59.1199989318847","54.7600011825562"
"Turkmenistan","TKM","2008","23.0094","","","","","","","","","","30.33","51.64","41.04","46.8","49.84","71.98","75.03","62.2","69.714","62.436","","","","","81","735","","","","","3.09","6.21","48.2799997329712","34.9099996089935"
"South Asia (IDA & IBRD)","TSA","1988","108.588200612169","","","","","","","","","","","","","","","","","","57.5716047784168","56.9333922013539","0.636240005493164","","","","","","0.73265","0.66921","0.55264","0.459199994802475","","","",""
"Tunisia","TUN","1987","23.691","","","","","","","","","","","","","","","","","","68.931","65.206","","","","","","6","0.839420020580292","0.803780019283295","0.717880010604858","0.595160007476807","","","",""
"Tunisia","TUN","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","24.8847926267281","2620","1653","","","","","","","",""
"United States","USA","1990","57.0142","","","","","","","","","","60.1","68.58","64.47","56.2","67.06","75.29","84.51","75.77","78.8","71.8","","","","","464887","","0.994329988956451","0.997739970684052","1.00117003917694","1.21246004104614","","","",""
"Uzbekistan","UZB","1999","32.5734","","","","","","","","","","36.02","54.76","45.47","54.42","58.74","76.05","79.8","69.18","70.195","63.765","","0.1","0.1","","1015","45527","1.00247001647949","0.991530001163483","0.984210014343262","0.821160018444061","16.04","11.26","48.3699989318848","43.3799991607666"
"Uzbekistan","UZB","2007","18.107","","","","","","","","","","34.15","54","44.18","52.21","55.91","74.78","78.41","67.04","72.065","65.902","","0.1","0.1","17.5","1052","5658","0.987469971179962","0.990320026874542","0.991729974746704","0.699999988079071","5.93","4.31","49.1699981689453","44.0099992752075"
"St. Vincent and the Grenadines","VCT","1970","173.126","","","","","","","","","","","","","","","","","","65.221","61.902","1.00074005126953","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","VCT","1971","168.444","","","","","","","","","","","","","","","","","","65.581","62.212","","","","","","","0.999000012874603","0.9896399974823","0.981180012226105","","","","",""
"St. Vincent and the Grenadines","VCT","1997","76.143","","","","","","","","","","42.67","70.78","56.96","48.93","54.05","80.42","85.27","69.92","72.378","69.086","","","","9.52380952380952","","13","","","","","20.3","20.95","17.4799995422363","21.6099995374679"
"Guinea","GIN","1967","188.236","","","","","","","","","","","","","","","","","","37.175","34.956","","","","","","","","","","","","","",""
"Niger","NER","1964","210.1776","","","","","","","","","","","","","","","","","","35.796","34.884","","","","","","","","","","","","","",""
"Uganda","UGA","1967","174.428","","","","","","","","","","","","","","","","","","49.745","46.892","","","","","162760","","","","","","","","",""
"Uganda","UGA","1995","178.045","","","","","","","","","","53.27","57.5","55.38","63.28","64.59","77.31","77.89","71.11","47.478","40.6","","6.1","1.5","","229348","24161","0.835529983043671","","","0.48131000995636","1.33","1.73","94.6199989318848","82.1099967956543"
"Africa Eastern and Southern","AFE","1969","142.010506005654","","","","","","","","","","","","","","","","","","47.9485529392426","44.7998248463428","","","","","","","","","","","","","",""
"Afghanistan","AFG","2007","133.092","","","","","","","","","","14.52","64.29","40.3","15.38","15.91","78.94","80.81","49.49","60.751","58.092","","0.1","0.1","27.6859504132231","43","3057655","0.613789975643158","0.567200005054474","0.375039994716644","","14.85","10.5","98.3099985122681","89.5799980163574"
"Albania","ALB","1993","18.8524","","","","","","","","","","61.39","67.42","64.38","59.41","65.01","77.07","82.39","73.63","75.039","69.037","","0.1","0.1","","3000","4747","1.03497004508972","1.04384994506836","1.05314004421234","1.02230000495911","16.64","16.42","60.7799997329712","63.229998588562"
"Andorra","AND","2010","","","","","","","","","","","","","","","","","","","","","","","","35.7142857142857","","5","","","","","","","",""
"Arab World","ARB","1972","122.271106583215","","","","","","","","","","","","","","","","","","54.652471652385","52.1932097046669","","","","","","","0.6517","0.62352","0.54406","0.556190013885498","","","",""
"Bulgaria","BGR","1993","63.021","","","","","","","","","","47.38","42.74","45.01","53.26","65.42","60.62","70.97","68.17","75.26","67.62","","","","","443","3157","0.980440020561218","0.992950022220612","0.999580025672913","1.28164005279541","13.28","14.02","12.3400001525879","14.4699996709823"
"Brazil","BRA","2018","57.8858","","","","","","","","","","49.33","62.06","55.79","54.36","60.9","74.28","79.97","70.31","79.362","72.024","1.00451004505157","","","15.009746588694","11304","1038","","","","","14.23","10.87","23.739999294281","30.9899997711182"
"Brunei Darussalam","BRN","2002","26.547","","","","","","","","","","42.95","52.38","47.63","56.08","58.2","78.49","80.95","69.69","74.525","72.279","","","","","","","0.964680016040802","0.973049998283386","0.986630022525787","1.38047003746033","7.34","4.6","4.04000008106231","4.50999984145164"
"Botswana","BWA","2005","49.8924","","","","","","","","","","36.86","46.62","41.7","53","54.84","67.5","68.26","61.28","54.422","49.981","","15.1","5.4","11.1111111111111","3101","","0.987249970436096","1.00091004371643","1.02876996994019","0.860719978809357","22.14","17.71","28.4599990844727","22.6899998188019"
"Germany","DEU","1963","43.7524","","","","","","","","","","","","","","","","","","72.669","67.184","","","","","182000","","","","","","","","",""
"Germany","DEU","1972","42.28","","","","","","","","","","","","","","","","","","74.017","67.867","","","","","125000","","","","","","","","",""
"Germany","DEU","2018","7.8568","","","","","","","","","","47.85","52.32","50.18","55.23","74.11","66.66","82.74","78.49","83.3","78.6","","0.1","0.1","30.7475317348378","1063835","61","1.00722002983093","0.960990011692047","0.941559970378876","1.03076994419098","2.91","3.79","4.98999997973442","6.22999997437"
"Djibouti","DJI","1992","45.466","","","","","","","","","","58.24","68.68","63.5","45.59","47.8","80.27","82.74","65.39","58.585","55.353","","0.2","0.2","","28000","10","0.73062002658844","0.714789986610413","0.669250011444092","0.444130003452301","11.55","11.42","46.9099988937378","30.9899997711182"
"Dominica","DMA","1986","","","","","","","","","","","","","","","","","","","","","","","","","","","0.971790015697479","1.0709400177002","1.2564799785614","","","","",""
"Ethiopia","ETH","1982","121.765","","","","","","","","","","","","","","","","","","45.204","42.283","","","","","5550","1334915","0.574949979782104","","","0.148090004920959","","","",""
"Fragile and conflict affected situations","FCS","1966","141.1373104939","","","","","","","","","","","","","","","","","","45.5788848960109","42.5468461341972","","","","","","","","","","","","","",""
"Fragile and conflict affected situations","FCS","1993","117.584902659892","","","","","","","","","","45.2177300295079","59.0447911640594","52.1612561042509","54.5654881312226","55.9877335307755","78.0840876607289","79.1499433759368","67.439014724819","54.8919329682438","51.3094953705119","0.820850014686584","1.80387810806816","0.684771772403243","","4711270","9163205","0.82178","0.80513","0.75525","0.712090015411377","4.09944307870746","5.32683847316433","85.1202706246355","73.4260665582518"
"Finland","FIN","2012","7.423","","","","","","","","","","52.14","50.73","51.42","55.95","73.21","63.57","76.67","74.96","83.7","77.7","","","","42.5","9910","5","0.991599977016449","1.02188003063202","1.04770994186401","1.17430996894836","7.05","8.28","6.99000015854835","11.9599998593331"
"France","FRA","2015","5.4954","","","","","","","","","","34.14","40.92","37.59","50.78","67.28","60.66","75.29","71.23","85.6","79.2","","","","26.1698440207972","273117","90","0.993780016899109","1.00341999530792","1.01034998893738","1.19532001018524","9.9","10.77","5.94999992847443","8.4999996572733"
"Faroe Islands","FRO","1973","","","","","","","","","","","","","","","","","","","76.7","72.4","","","","","","","","","","","","","",""
"Micronesia, Fed. Sts.","FSM","1992","48.363","","","","","","","","","","","","","","","","","","65.309","62.459","","","","","","","","","","","","","",""
"Guinea-Bissau","GNB","1983","124.409","","","","","","","","","","","","","","","","","","47.629","42.475","","","","","","5000","0.484259992837906","0.454879999160767","0.245279997587204","","","","",""
"Equatorial Guinea","GNQ","1997","189.407","","","","","","","","","","29.66","38.2","34.14","50.51","52.23","67.32","68.84","60.89","53.561","50.74","","1.6","0.8","8.75","","474","","","","","9.01","8.19","86.9400014877319","86.1499979496002"
"Equatorial Guinea","GNQ","2010","169.9012","","","","","","","","","","29.61","36.19","33.2","53.97","55.5","67.75","69.01","63.22","56.855","54.54","1.00618004798889","3","1.5","10","","306","0.987209975719452","","","","8.7","8.26","71.7800036668778","63.7099999785423"
"Croatia","HRV","1980","44.4522","","","","","","","","","","","","","","","","","","74.15","66.39","","","","","","","","","","","","","",""
"IDA total","IDA","2003","102.896486343464","","","","","","","","","","41.645266610939","61.3604985521041","51.5767826223851","50.7757866323518","52.0877908926461","79.6769264546099","80.9463087491926","66.5024914035117","58.6129741748597","55.9411082098357","","1.62547565357076","0.574381617708371","11.4505544240778","4595225","5550885","0.86048","0.85015","0.8248","","4.72477603655402","4.16436053153078","84.945825322442","70.3613561700664"
"IDA only","IDX","2015","93.518969585806","","","","","","","","","","44.2712069683675","57.5310157444567","50.9394036114532","53.8679185593019","55.6072015676721","77.8375287539995","79.2038233373502","67.2774070082736","66.1114587136498","62.3848708769068","0.922770023345947","1.28413828500708","0.599218619748967","21.4330741752469","4745692","13110726","0.95688","0.94269","0.91081","0.738810002803802","5.11316964998702","4.20665146067919","82.0475671664396","65.8775682318751"
"India","IND","1992","93.976","","","","","","","","","","25.63","66.52","46.88","30.37","31.76","84.52","86.58","60.18","59.337","58.405","","","","","258372","1021","0.78439998626709","","","","5.36","5.7","90.5999984741211","80.4800033569336"
"India","IND","2007","44.559","","","","","","","","","","21","59.52","41.25","29.3","30.81","81.99","84.54","58.73","66.253","64.499","","","","9.05730129390018","161534","20455","0.992999970912933","0.942560017108917","0.876290023326874","0.710280001163483","5.52","5.37","88.0900001525879","80.7100019454956"
"Iran, Islamic Rep.","IRN","1997","44.314","","","","","","","","","","11.15","51.63","31.91","11.38","11.95","73.98","75.53","44.26","69.691","68.575","","0.1","0.1","4.88721804511278","1982553","93986","0.926580011844635","0.912609994411469","0.898020029067993","","14.38","8.96","43.2099990844726","42.1499991416932"
"Iceland","ISL","1968","80.3708","","","","","","","","","","","","","","","","","","76.49","71.64","","","","","","","","","","","","","",""
"Israel","ISR","1984","27.5384","","","","","","","","","","","","","","","","","","76.6","73.1","","","","","","","1.02266001701355","1.0472799539566","1.08149003982544","0.934430003166199","","","",""
"St. Kitts and Nevis","KNA","2008","","","","","","","","","","","","","","","","","","","","","","","","6.66666666666667","","","0.948840022087097","1.00021004676819","1.07897996902466","1.53469002246857","","","",""
"Korea, Rep.","KOR","2013","1.6886","","","","","","","","","","30.21","24.43","27.14","50.29","55.57","72.5","76.49","66.27","84.6","78.1","","","","15.6666666666667","548","495","1.00088000297546","0.997399985790253","0.994840025901794","0.764450013637543","2.81","3.31","21.9600000381469","20.9199992418289"
"Liberia","LBR","1980","199.8862","","","","","","","","","","","","","","","","","","47.907","44.299","","","","","","","0.549329996109009","0.499779999256134","0.385509997606277","","","","",""
"Liberia","LBR","2011","139.4696","","","","","","","","","","52.74","61.32","57.06","70.12","71.63","81.05","81.85","76.71","61.763","58.561","","0.9","0.5","9.58904109589041","128283","66780","0.912090003490448","0.88358998298645","0.813409984111786","","2.2","2.27","89.2000026702881","68.6599979400635"
"St. Lucia","LCA","1969","160.9564","","","","","","","","","","","","","","","","","","64.935","61.292","","","","","","","","","","","","","",""
"St. Lucia","LCA","1999","63.713","","","","","","","","","","44.78","63.14","53.82","52.46","57.96","75.61","81.18","69.3","74.567","71.793","","","","11.1111111111111","","10","0.945969998836517","1.03445994853973","1.26156997680664","","20.63","16.23","21.710000872612","29.1499997973442"
"Least developed countries: UN classification","LDC","1960","155.948386372673","","","","","","","","","","","","","","","","","","41.2829122082571","39.3991141328086","","","","","","","","","","","","","",""
"Sri Lanka","LKA","1992","29.293","","","","","","","","","","38.7","59.06","49.02","38.05","41.4","76.67","81.01","61.26","73.238","66.435","","0.1","0.1","","21","128115","0.967279970645905","1.02672004699707","1.08680999279022","","22.04","10.36","34.3699998855591","39.9800000190735"
"Lesotho","LSO","1968","94.9162","","","","","","","","","","","","","","","","","","53.874","44.939","","","","","","","","","","","","","",""
"Lithuania","LTU","2002","21.073","","","","","","","","","","29.12","36.16","32.69","52.29","65.96","65.18","74.22","69.94","77.6","66.2","","","","10.6382978723404","363","1365","0.985960006713867","0.982990026473999","0.981689989566803","1.36336004734039","12.78","13.22","16.3999996185303","20.7800004482269"
"Middle East & North Africa","MEA","1965","136.290050486547","","","","","","","","","","","","","","","","","","50.2339606227284","48.6364504239327","","","","","","","","","","","","","",""
"Middle East & North Africa","MEA","1969","129.439948933346","","","","","","","","","","","","","","","","","","53.1346363002707","51.2002179999149","","","","","","","","","","","","","",""
"Middle East & North Africa","MEA","2015","40.4988226486374","","","","","","","","","","13.375734222061","43.5796400548874","28.8462426360308","20.2096290418956","21.6195827334632","73.3134753083128","76.9014435570699","50.493010547787","75.3660397167068","71.8404316649502","0.952199995517731","0.100788548014851","0.100891711857252","16.3846838824577","8903648","5377343","0.96964","0.96199","0.9524","1.02025997638702","18.1509761071902","7.98891999169598","30.3160337621729","24.6613257911214"
"Middle income","MIC","2001","53.0676199194261","","","","","","","","","","40.462373738016","61.9492350256968","51.4568942890182","50.0429077224344","53.5837669783886","80.0931833330171","83.4987195403534","68.7347176077313","68.7709158251065","64.7199706564622","0.929210007190704","","","12.438370846731","11283322","3803439","0.93339","0.92404","0.91346","0.932529985904694","5.80563509275871","5.69321719095019","60.7659674770652","59.4481519436463"
"North Macedonia","MKD","1991","44.281","","","","","","","","","","35.13","48.29","41.87","42.38","47.19","67.01","73.26","60.31","73.398","69.352","","","","","","","","","","1.10573995113373","39.71","32.87","13.8099999427795","16.0399997234344"
"Myanmar","MMR","1997","39.063","","","","","","","","","","77.21","87.37","82.23","60.94","65.36","87.45","90.93","77.7","62.252","56.008","","","","","","135771","","","","","0.88","0.78","79.6999969482422","78.6399993896484"
"Mongolia","MNG","1981","42.7224","","","","","","","","","","","","","","","","","","59.499","54.746","","","","","","","0.953199982643127","","","","","","",""
"Mauritania","MRT","2018","69.628","","","","","","","","","","13.94","30.79","22.48","27.94","28.9","62.93","64.01","46.52","66.292","63.082","","0.1","0.1","20.2614379084967","83184","37050","1.05808997154236","1.04680001735687","1.01653003692627","0.541689991950989","11.51","9.63","76.1300010681152","42.5399994850158"
"Mauritius","MUS","1983","42.0668","","","","","","","","","","","","","","","","","","71.897","64.362","","","","","","","0.986090004444122","0.957350015640259","0.904640018939972","0.437900006771088","","","",""
"Paraguay","PRY","1967","100.404","","","","","","","","","","","","","","","","","","66.96","63.037","","","","","","","","","","","","","",""
"French Polynesia","PYF","2013","40.6648","","","","","","","","","","35.11","45.2","40.21","49.06","53.72","63.39","68.57","61.27","78.688","74.162","","","","","","","","","","","12.48","11.23","9.35999968647957","15.2299998998642"
"Qatar","QAT","1969","90.1964","","","","","","","","","","","","","","","","","","69.297","66.276","","","","","","","","","","","","","",""
"Solomon Islands","SLB","1981","114.1594","","","","","","","","","","","","","","","","","","64.025","62.019","","","","","","","0.756340026855469","","","","","","",""
"Somalia","SOM","1960","55.389","","","","","","","","","","","","","","","","","","38.525","35.481","","","","","","","","","","","","","",""
"Sao Tome and Principe","STP","1998","114.9172","","","","","","","","","","23.67","53.35","38.64","37.84","39.89","73.05","75.32","57.22","62.095","58.233","","0.4","0.2","7.27272727272727","","39","0.81370997428894","","","","17.91","12.45","79.4200000762939","78.2399997711182"
